x,"y_(ЛЗМ5,5м_Em650.txt)","y_(ЛЗМ5,5м_Ex660.txt)","y_(ЛЗМ5,5м_Em430.txt)","y_(ЛЗМ5,5м_Em425.txt)","y_(ЛЗМ5,5м_Em370.txt)","y_(ЛЗМ5,5м_Em405.txt)","y_(ЛЗМ5,5м_Em605.txt)","y_(ЛЗМ5,5м_Em460.txt)"
698,"18,281071",,"10,908106","12,876612","10,972049","13,153225","5,148245","6,788469"
699,"18,460463",,"10,944225","12,905087","10,986970","13,211631","5,162773","6,708677"
700,"18,651329",,"10,927029","12,991152","11,037405","13,288985","5,149769","6,664152"
701,"18,947009",,"10,962899","13,106162","11,097799","13,385070","5,133372","6,634816"
702,"19,219179",,"11,058989","13,232933","11,194265","13,540900","5,196384","6,606435"
703,"19,302694",,"11,189820","13,358610","11,331523","13,687033","5,282375","6,615385"
704,"19,518063",,"11,359410","13,527584","11,487739","13,842359","5,342352","6,594890"
705,"19,823587",,"11,521368","13,704252","11,653105","14,037968","5,377795","6,606493"
706,"20,192607",,"11,676801","13,880186","11,832736","14,173349","5,367000","6,616219"
707,"20,509784",,"11,853433","14,062911","11,902400","14,315221","5,368876","6,593648"
708,"20,604216",,"12,003820","14,268548","11,905527","14,498072","5,442543","6,622747"
709,"21,046333",,"12,149710","14,448650","11,998232","14,688899","5,535433","6,635627"
710,"21,471778",,"12,243397","14,620829","12,165648","14,829051","5,689961","6,609899"
711,"21,606564",,"12,289667","14,700580","12,244516","14,880295","5,756436","6,572340"
712,"21,714570",,"12,347260","14,727863","12,248172","14,873332","5,716811","6,584579"
713,"21,800367",,"12,406911","14,767502","12,262673","14,845832","5,744465","6,579470"
714,"21,839727",,"12,417721","14,763173","12,192147","14,793459","5,720505","6,547559"
715,"21,807283",,"12,386287","14,753269","12,043618","14,723018","5,654067","6,522721"
716,"21,745288",,"12,337289","14,731263","11,937966","14,664271","5,669789","6,499045"
717,"21,756072",,"12,323575","14,669292","11,893809","14,601286","5,654693","6,527067"
718,"21,732033",,"12,400289","14,620188","11,893552","14,502746","5,623429","6,613265"
719,"21,585981",,"12,414896","14,589700","11,872486","14,415708","5,620007","6,671464"
720,"21,480501",,"12,334728","14,526613","11,800419","14,291223","5,554046","6,671599"
721,"21,299907",,"12,284245","14,463473","11,752216","14,148559","5,471298","6,701637"
722,"21,157220",,"12,249597","14,376674","11,641041","14,044976","5,519416","6,709656"
723,"21,193880",,"12,133271","14,280242","11,506927","13,823580","5,593123","6,678328"
724,"21,041183",,"11,953529","14,104987","11,369718","13,550141","5,486126","6,685828"
725,"20,629404",,"11,730497","13,822557","11,054291","13,266890","5,306879","6,785318"
726,"20,128030",,"11,458489","13,546874","10,721730","12,922118","5,149888","6,744698"
727,"19,414814",,"11,158418","13,194106","10,475440","12,550671","5,020405","6,490369"
728,"18,609354",,"10,777326","12,751033","10,207677","12,151967","4,936970","6,326110"
729,"17,856450",,"10,346542","12,301569","9,875577","11,696719","4,763304","6,219141"
730,"16,946950",,"9,950457","11,807565","9,479330","11,189936","4,454518","6,170024"
731,"15,951065",,"9,530516","11,248801","9,056343","10,592824","4,223133","6,044909"
732,"14,881950",,"9,129659","10,693745","8,618906","10,034122","4,059400","5,864379"
733,"13,986767",,"8,747393","10,194944","8,201675","9,551347","3,861590","5,762369"
734,"13,394286",,"8,353217","9,728270","7,931662","9,068788","3,697084","5,635848"
735,"12,830911",,"7,949012","9,257985","7,600129","8,637364","3,517289","5,486286"
736,"12,209766",,"7,515732","8,824676","7,173686","8,228208","3,379189","5,362952"
737,"11,498692",,"7,083320","8,380126","6,830666","7,815018","3,215819","5,215581"
738,"10,803839",,"6,695600","7,906074","6,508342","7,384469","3,044883","5,080769"
739,"10,138410",,"6,380606","7,464663","6,202055","6,997825","2,895942","4,991853"
740,"9,410573",,"6,097826","7,045480","5,938677","6,628618","2,692446","4,854578"
741,"8,792210",,"5,777073","6,699643","5,702162","6,247677","2,555665","4,755256"
742,"8,353177",,"5,460213","6,383967","5,449038","5,870729","2,481572","4,694703"
743,"7,961445",,"5,195799","6,017164","5,221507","5,566304","2,334292","4,602961"
744,"7,513746",,"4,955545","5,683173","5,034711","5,299413","2,214583","4,445004"
745,"7,157958",,"4,719142","5,401387","4,793623","5,007432","2,152686","4,340523"
746,"6,830846",,"4,473152","5,085533","4,553735","4,763474","2,044802","4,263695"
747,"6,391721",,"4,250498","4,826052","4,394953","4,539969","1,973274","4,137025"
748,"6,139126",,"4,039877","4,621937","4,261884","4,314950","1,882425","4,008740"
749,"5,845829",,"3,828715","4,401533","4,148267","4,128521","1,800613","3,933451"
750,"5,569636",,"3,668448","4,209101","4,007168","3,955329","1,796143","3,919796"
751,"5,412185",,"3,537484","4,032335","3,868868","3,769764","1,772754","3,834260"
752,"5,300070",,"3,398604","3,839253","3,742815","3,584444","1,724917","3,659963"
753,"5,101350",,"3,290435","3,680769","3,602667","3,466958","1,672253","3,528825"
754,"4,792567",,"3,177985","3,529659","3,476346","3,359868","1,618221","3,450737"
755,"4,625232",,"3,054878","3,371256","3,369273","3,238206","1,578833","3,366215"
756,"4,454239",,"2,960951","3,270505","3,308996","3,156764","1,556898","3,272692"
757,"4,190208",,"2,877491","3,193739","3,274206","3,044852","1,537466","3,189834"
758,"4,071886",,"2,801473","3,130687","3,189961","2,954304","1,487742","3,109976"
759,"4,127171",,"2,726271","3,053234","3,118504","2,885765","1,450569","3,025517"
760,"4,064987",,"2,634283","2,953048","3,059613","2,780633","1,433419","2,989327"
761,"3,904248",,"2,551883","2,872565","3,011308","2,668895","1,398442","2,959928"
762,"3,782198",,"2,502137","2,809716","2,980219","2,600824","1,391546","2,864079"
763,"3,612594",,"2,471127","2,764520","2,913578","2,570868","1,394298","2,801062"
764,"3,536032",,"2,425174","2,738786","2,847992","2,483193","1,402951","2,782556"
765,"3,583446",,"2,369539","2,685318","2,830825","2,406914","1,427766","2,736831"
766,"3,559809",,"2,335933","2,602622","2,795757","2,383101","1,350974","2,698734"
767,"3,501560",,"2,282651","2,566103","2,752215","2,357360","1,269587","2,629717"
768,"3,476283",,"2,226081","2,545306","2,749795","2,303416","1,264010","2,560917"
769,"3,444623",,"2,203004","2,474149","2,676568","2,242985","1,262813","2,531410"
770,"3,302446",,"2,180181","2,407764","2,573566","2,236850","1,275674","2,516305"
771,"3,219600",,"2,162094","2,375526","2,540887","2,215004","1,245636","2,492928"
772,"3,228882",,"2,161452","2,351185","2,528598","2,177101","1,207199","2,421011"
773,"3,203702",,"2,138286","2,343838","2,510468","2,172037","1,190134","2,369321"
774,"3,132570",,"2,108092","2,347478","2,463651","2,147864","1,193191","2,343832"
775,"3,140031",,"2,067226","2,334827","2,415741","2,106792","1,191537","2,312338"
776,"3,169813",,"2,015807","2,308567","2,369052","2,052731","1,149195","2,306700"
777,"3,115417",,"1,999471","2,283661","2,299075","2,011702","1,135508","2,270575"
778,"3,150538",,"1,976114","2,251337","2,236916","2,018937","1,135788","2,192268"
779,"3,475912",,"1,951786","2,220734","2,277158","2,056569","1,224578","2,198356"
780,"3,841539",,"1,939490","2,218689","2,326018","2,088198","1,403534","2,237882"
781,"3,901971",,"1,929175","2,211206","2,280785","2,074670","1,405340","2,228308"
782,"3,915676",,"1,924366","2,177336","2,239683","2,039264","1,343623","2,226847"
783,"3,959096",,"1,908902","2,135143","2,231794","2,000325","1,367765","2,205735"
784,"3,928377",,"1,871160","2,110682","2,197810","1,983371","1,376991","2,180240"
785,"3,888977",,"1,839125","2,089375","2,156125","1,979711","1,362409","2,135689"
786,"3,855503",,"1,845493","2,063217","2,128303","1,960302","1,328051","2,093652"
787,"3,780412",,"1,843314","2,041278","2,099763","1,946098","1,327859","2,073297"
